政 ,セイ ショウ マ ,まつりごと ,"politics, government"
番 ,バン ツガ. ,,"turn, number in a series"
規 ,,,"standard, measure"
術 ,ジュツ ,すべ ,"art, technique, skill, means, trick, resources, magic"
導 ,ドウ ミチビ. ,,"guidance, leading, conduct, usher"
備 ,ビ ツブサ. ,そな.える そな.わる ,"equip, provision, preparation"
宅 ,タ ,,"home, house, residence, our house, my husband"
害 ,ガイ ,,"harm, injury"
配 ,ハイ ,くば.る ,"distribute, spouse, exile, rationing"
副 ,フ ,,"vice-, duplicate, copy"
算 ,サン ,そろ ,"calculate, divining, number, abacus, probability"
警 ,ケイ ,いまし.める ,"admonish, commandment"
育 ,イク ハグク. ,そだ.つ そだ.ち そだ.てる ,"bring up, grow up, raise, rear"
席 ,セキ ,むしろ ,"seat, mat, occasion, place"
輸 ,ユ シュ ,,"transport, send, be inferior"
訪 ,ホウ ト. ,おとず.れる たず.ねる ,"call on, visit, look up, offer sympathy"
乗 ,ジョウ ショウ ノ.セ ,の.る -の.り ,"ride, power, multiplication, record, counter for vehicles, board, mount, join"
述 ,ジュツ ,の.べる ,"mention, state, speak, relate"
残 ,ザン サン ,のこ.る のこ.す そこな.う のこ.り ,"remainder, leftover, balance"
想 ,ソウ ソ ,おも.う ,"concept, think, idea, thought"
線 ,セン ,すじ ,"line, track"
農 ,ノ ,,"agriculture, farmers"
州 ,シュウ ス ,,"state, province"
武 ,ブ ム タケ. ,,"warrior, military, chivalry, arms"
声 ,セイ ショウ ,こえ こわ- ,voice
念 ,ネン ,,"wish, sense, idea, thought, feeling, desire, attention"
象 ,ショウ ゾウ カタド. ,,"elephant, pattern after, imitate, image, shape, sign (of the times)"
域 ,イキ ,,"range, region, limits, stage, level"
助 ,ジョ ,たす.ける たす.かる す.ける すけ ,"help, rescue, assist"
労 ,ロウ ,ろう.する いたわ.る いた.ずき ねぎら つか.れる ねぎら.う ,"labor, thank for, reward for, toil, trouble"
例 ,レイ ,たと.える ,"example, custom, usage, precedent"
然 ,ゼン ネン ,しか しか.り しか.し さ ,"sort of thing, so, if so, in that case, well"
限 ,ゲン ,かぎ.る かぎ.り -かぎ.り ,"limit, restrict, to best of ability"
額 ,ガク ヒタ ,,"forehead, tablet, plaque, framed picture, sum, amount, volume"
追 ,ツイ オ. ,,"chase, drive away, follow, pursue, meanwhile"
商 ,ショウ アキナ. ,,"make a deal, selling, dealing in, merchant"
葉 ,ヨウ ,,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece"
伝 ,デン テン ツ ,つた.わる つた.える つた.う つだ.う -づた.い ,"transmit, go along, walk along, follow, report, communicate, legend, tradition"
働 ,ドウ リュク リキ ロク リョク ,はたら.く ,"work, (kokuji)"
形 ,ケイ ギョウ ナ ,かた -がた かたち ,"shape, form, style"
景 ,ケ ,,"scenery, view"
落 ,ラク オ.ト ,お.ちる お.ち ,"fall, drop, come down"
欧 ,オウ ハ. ,うた.う ,Europe
担 ,タン ,かつ.ぐ にな.う ,"shouldering, carry, raise, bear"
好 ,コウ イ. ,この.む す.く よ.い ,"fond, pleasing, like something"
退 ,タイ ,しりぞ.く しりぞ.ける ひ.く の.く の.ける ど.く ,"retreat, withdraw, retire, resign, repel, expel, reject"
準 ,ジュン ,じゅん.じる じゅん.ずる なぞら.える のり ひと.しい みずもり ,"semi-, correspond to, proportionate to, conform, imitate"
賞 ,ショウ ,ほ.める ,"prize, reward, praise"
辺 ,ヘン - ,あた.り ほと.り ,"environs, boundary, border, vicinity"
造 ,ゾウ -ヅク. ,つく.る つく.り ,"create, make, structure, physique"
