お兄さん,おにいさん
縦,たて
繋ぐ,つなぐ
繰り返す,くりかえす
缶,かん
罪,つみ
罰する,ばっする
署名,しょめい
罹る,かかる
美人,びじん
義務,ぎむ
羽,はね
翼,つばさ
老い,おい
老人,ろうじん
考え,かんがえ
考慮,こうりょ
者,もの
職,しょく
職業,しょくぎょう
肌,はだ
肩,かた
育つ,そだつ
胃,い
背,せい
胸,むね
能,のう
能力,のうりょく
脇,わき
腐る,くさる
腰,こし
腹,はら
膝,ひざ
自動,じどう
自慢,じまん
自殺,じさつ
自然,しぜん
自身,じしん
臭い,くさい
至る,いたる
舌,した
舞台,ぶたい
航空,こうくう
船,ふね
芝居,しばい
芝生,しばふ
芸術,げいじゅつ
芽,め
苦しい,くるしい
苦しむ,くるしむ
苦労,くろう
苦手,にがて
苦痛,くつう
茶,ちゃ
莫大,ばくだい
菓子,かし
著者,ちょしゃ
虎,とら
虫歯,むしば
行き,いき/ゆき
行儀,ぎょうぎ
行動,こうどう
街,まち
衛星,えいせい
衝突,しょうとつ
衣服,いふく
表,ひょう
表す,あらわす
表情,ひょうじょう
表現,ひょうげん
表面,ひょうめん
袋,ふくろ
袖,そで
被る,かぶる
被害,ひがい
裁判,さいばん
装置,そうち
裏切る,うらぎる
裸,はだか
製品,せいひん
製造,せいぞう
褒める,ほめる
要するに,ようするに
要求,ようきゅう
要点,ようてん
要素,ようそ
覆う,おおう
見事,みごと
見当,けんとう
見舞い,みまい
見解,けんかい
見送り,みおくり
覚ます,さます
覚める,さめる
覚悟,かくご
親しい,したしい
親友,しんゆう
親戚,しんせき
観光,かんこう
観客,かんきゃく
観察,かんさつ
角,つの
解く,とく
解ける,とける
解決,かいけつ
解釈,かいしゃく
触れる,ふれる
言う,ゆう
言わば,いわば
言語,げんご
計,かたち
計る,はかる
計画,けいかく・する
計算,けいさん
訓,くん
訓練,くんれん
記事,きじ
記入,きにゅう
記念,きねん
記憶,きおく
記者,きしゃ
記録,きろく
訪問,ほうもん
設備,せつび
設計,せっけい
許す,ゆるす
訳,やく
訴える,うったえる
診察,しんさつ
証明,しょうめい
評価,ひょうか
評判,ひょうばん
試し,ためし
試す,ためす
詩,し
詩人,しじん
詰める,つめる
話し合う,はなしあう
話題,わだい
詳しい,くわしい
誇り,ほこり
認める,みとめる
誕生,たんじょう
誘う,さそう
語,ご
語る,かたる
語学,ごがく
誤り,あやまり
誤解,ごかい
説,せつ
読み,よみ
読書,どくしょ
誰か,だれか
課,か
調子,ちょうし
調査,ちょうさ
請求,せいきゅう
論じる,ろんじる
論争,ろんそう
論文,ろんぶん
諦める,あきらめる
諺,ことわざ
謎,なぞ
講演,こうえん
警告,けいこく
議会,ぎかい
議員,ぎいん
議論,ぎろん
議長,ぎちょう
譲る,ゆずる
谷,たに
豆,まめ
豊か,ゆたか
豊富,ほうふ
象,ぞう
豪華,ごうか
負け,まけ
財産,ざいさん
貢献,こうけん
貧しい,まずしい
販売,はんばい
責める,せめる
責任,せきにん
貯金,ちょきん
貰う,もらう
貴重,きちょう
費用,ひよう
資本,しほん
資源,しげん
賛成,さんせい
賞,しょう
賢い,かしこい
質,しつ
贅沢,ぜいたく
贈る,おくる
起こる,おこる
越える,こえる
越す,こす
跡,あと
身,み
身体,しんたい
身長,しんちょう
軍,ぐん
軍隊,ぐんたい
軒,けん
軒,のき
転ぶ,ころぶ
輝く,かがやく
輪,わ
輸入,ゆにゅう・する
輸出,ゆしゅつ・する
轢く,ひく
辛い,つらい
辞める,やめる
農家,のうか
農業,のうぎょう
農民,のうみん
辺り,あたり
迎え,むかえ
近代,きんだい
近頃,ちかごろ
述べる,のべる
迷子,まいご
迷惑,めいわく
追い付く,おいつく
追う,おう
退屈,たいくつ
逆,ぎゃく
逆らう,さからう
途端,とたん
通じる,つうじる
通す,とおす
通り,とおり
通り過ぎる,とおりすぎる
通信,つうしん
通学,つうがく
通行,つうこう
通過,つうか
速度,そくど
連れ,つれ
連想,れんそう
連続,れんぞく
逮捕,たいほ
週,しゅう
週間,しゅうかん
進める,すすめる
進学,しんがく
進歩,しんぽ
遂に,ついに
遅刻,ちこく
運,うん
運動,うんどう・する
運転,うんてん・する
過ごす,すごす
過去,かこ
道徳,どうとく
道路,どうろ
達する,たっする
違い,ちがい
違いない,ちがいない
違反,いはん
遠慮,えんりょ
適する,てきする
適切,てきせつ
適度,てきど
適用,てきよう
選手,せんしゅ
選択,せんたく
避ける,さける
邪魔,じゃま
部分,ぶぶん
郵便,ゆうびん
都,みやこ
都会,とかい
都市,とし
配達,はいたつ
酒,さけ
酔う,よう
酸素,さんそ
重大,じゅうだい
重要,じゅうよう
重視,じゅうし
野,の
量,りょう
金,かね
金,きん
金属,きんぞく
金庫,きんこ
金曜,きんよう
金融,きんゆう
金銭,きんせん
金額,きんがく
針,はり
釣,つり
鉄,てつ
鉄道,てつどう
銀,ぎん
銃,じゅう
銅貨,どうか
鋭い,するどい
鍋,なべ
鍵,かぎ
鎖,くさり
長期,ちょうき
閉じる,とじる
開始,かいし
間,ま
間違い,まちがい
関する,かんする
関心,かんしん
関連,かんれん
防ぐ,ふせぐ
降ろす,おろす
限る,かぎる
限界,げんかい
除く,のぞく
陰,かげ
陸,りく
陽気な,ようき
随分,ずいぶん
際,さい
障害,しょうがい
隠す,かくす
隠れる,かくれる
集まり,あつまり
集中,しゅうちゅう
集団,しゅうだん
雇う,やとう
離す,はなす
